,state,article_title,url,article_quality,revision_id
0,Alabama,"Abbeville, Alabama","https://en.wikipedia.org/wiki/Abbeville,_Alabama",C,1171163550
1,Alabama,"Adamsville, Alabama","https://en.wikipedia.org/wiki/Adamsville,_Alabama",C,1177621427
2,Alabama,"Addison, Alabama","https://en.wikipedia.org/wiki/Addison,_Alabama",C,1168359898
3,Alabama,"Akron, Alabama","https://en.wikipedia.org/wiki/Akron,_Alabama",GA,1165909508
4,Alabama,"Alabaster, Alabama","https://en.wikipedia.org/wiki/Alabaster,_Alabama",C,1179139816
5,Alabama,"Albertville, Alabama","https://en.wikipedia.org/wiki/Albertville,_Alabama",C,1179198677
6,Alabama,"Alexander City, Alabama","https://en.wikipedia.org/wiki/Alexander_City,_Alabama",GA,1179140073
7,Alabama,"Aliceville, Alabama","https://en.wikipedia.org/wiki/Aliceville,_Alabama",GA,1167792390
8,Alabama,"Allgood, Alabama","https://en.wikipedia.org/wiki/Allgood,_Alabama",C,1165909718
9,Alabama,"Altoona, Alabama","https://en.wikipedia.org/wiki/Altoona,_Alabama",C,1165909823
10,Alabama,"Andalusia, Alabama","https://en.wikipedia.org/wiki/Andalusia,_Alabama",C,1179141586
11,Alabama,"Anderson, Lauderdale County, Alabama","https://en.wikipedia.org/wiki/Anderson,_Lauderdale_County,_Alabama",Stub,662691565
12,Alabama,"Anniston, Alabama","https://en.wikipedia.org/wiki/Anniston,_Alabama",C,1176049382
13,Alabama,"Arab, Alabama","https://en.wikipedia.org/wiki/Arab,_Alabama",C,1171375371
14,Alabama,"Ardmore, Alabama","https://en.wikipedia.org/wiki/Ardmore,_Alabama",GA,1176903479
15,Alabama,"Argo, Alabama","https://en.wikipedia.org/wiki/Argo,_Alabama",C,1177623964
16,Alabama,"Ariton, Alabama","https://en.wikipedia.org/wiki/Ariton,_Alabama",C,1166014478
17,Alabama,"Arley, Alabama","https://en.wikipedia.org/wiki/Arley,_Alabama",C,1166014498
18,Alabama,"Ashford, Alabama","https://en.wikipedia.org/wiki/Ashford,_Alabama",C,1166014593
19,Alabama,"Ashland, Alabama","https://en.wikipedia.org/wiki/Ashland,_Alabama",C,1174331705
20,Alabama,"Ashville, Alabama","https://en.wikipedia.org/wiki/Ashville,_Alabama",C,1148844011
21,Alabama,"Athens, Alabama","https://en.wikipedia.org/wiki/Athens,_Alabama",C,1175308807
22,Alabama,"Atmore, Alabama","https://en.wikipedia.org/wiki/Atmore,_Alabama",C,1167926420
23,Alabama,"Attalla, Alabama","https://en.wikipedia.org/wiki/Attalla,_Alabama",C,1165507856
24,Alabama,"Auburn, Alabama","https://en.wikipedia.org/wiki/Auburn,_Alabama",C,1177335918
25,Alabama,"Autaugaville, Alabama","https://en.wikipedia.org/wiki/Autaugaville,_Alabama",C,1166014815
26,Alabama,"Avon, Alabama","https://en.wikipedia.org/wiki/Avon,_Alabama",Start,1166014861
27,Alabama,"Babbie, Alabama","https://en.wikipedia.org/wiki/Babbie,_Alabama",Start,1168820544
28,Alabama,"Baileyton, Alabama","https://en.wikipedia.org/wiki/Baileyton,_Alabama",C,1166014939
29,Alabama,"Bakerhill, Alabama","https://en.wikipedia.org/wiki/Bakerhill,_Alabama",Start,1166014954
30,Alabama,"Banks, Alabama","https://en.wikipedia.org/wiki/Banks,_Alabama",C,1166014997
31,Alabama,"Bay Minette, Alabama","https://en.wikipedia.org/wiki/Bay_Minette,_Alabama",C,1177963600
32,Alabama,"Bayou La Batre, Alabama","https://en.wikipedia.org/wiki/Bayou_La_Batre,_Alabama",C,1177999052
33,Alabama,"Bear Creek, Alabama","https://en.wikipedia.org/wiki/Bear_Creek,_Alabama",GA,1166015184
34,Alabama,"Beatrice, Alabama","https://en.wikipedia.org/wiki/Beatrice,_Alabama",C,1166015214
35,Alabama,"Beaverton, Alabama","https://en.wikipedia.org/wiki/Beaverton,_Alabama",Start,1166015251
36,Alabama,"Belk, Alabama","https://en.wikipedia.org/wiki/Belk,_Alabama",C,1166015313
37,Alabama,"Benton, Alabama","https://en.wikipedia.org/wiki/Benton,_Alabama",C,1166015434
38,Alabama,"Berlin, Alabama","https://en.wikipedia.org/wiki/Berlin,_Alabama",Start,1166015476
39,Alabama,"Berry, Alabama","https://en.wikipedia.org/wiki/Berry,_Alabama",C,1166015515
40,Alabama,"Bessemer, Alabama","https://en.wikipedia.org/wiki/Bessemer,_Alabama",C,1178999596
41,Alabama,"Billingsley, Alabama","https://en.wikipedia.org/wiki/Billingsley,_Alabama",Start,1166015695
